pmid	doi	publisher_family	followup_status	journal	title
20954009	10.1080/03079457.2010.507761	Unclassified	abstract_only_with_pdf_candidate	Avian pathology : journal of the W.V.P.A	Prevalence and molecular characterization of chloramphenicol resistance in Riemerella anatipestifer isolated from ducks and geese in Taiwan.
20961909	10.1093/jac/dkq393	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Comment on: role of changes in the L3 loop of the active site in the evolution of enzymatic activity of VIM-type metallo-β-lactamases.
21034262	10.1089/fpd.2010.0626	SAGE	abstract_only_with_pdf_candidate	Foodborne pathogens and disease	Epidemiological investigation of Salmonella enterica serovar Kedougou in Thailand.
21117966	10.1089/mdr.2010.0062	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Local dissemination of multidrug-resistant Acinetobacter baumannii clones in a Thai hospital.
21183688	10.1128/AAC.00998-10	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Spread of the qnrVC quinolone resistance determinant in Vibrio cholerae.
21235404	10.1089/fpd.2010.0737	SAGE	abstract_only_with_pdf_candidate	Foodborne pathogens and disease	First report of plasmid-mediated quinolone resistance qnrA1 gene in Klebsiella pneumoniae isolate of animal origin.
21388298	10.1089/mdr.2010.0137	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	CMY-42, a novel plasmid-mediated CMY-2 variant AmpC beta-lactamase.
21392044	10.1111/j.1472-765X.2011.03016.x	Wiley	abstract_only_with_pdf_candidate	Letters in applied microbiology	Identification of a novel fosfomycin resistance gene (fosA2) in Enterobacter cloacae from the Salmon River, Canada.
21393132	10.1093/jac/dkq529	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Distribution of the blaTEM gene and blaTEM-containing transposons in commensal Escherichia coli.
21393175	10.1093/jac/dkq521	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Species identification and molecular characterization of Acinetobacter spp. blood culture isolates from Norway.
21406433	10.1093/jac/dkr092	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Plasmid comparison and molecular analysis of Klebsiella pneumoniae harbouring bla(KPC) from New York City and Toronto.
21427107	10.1093/jac/dkr135	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	NDM-2 carbapenemase in Acinetobacter baumannii from Egypt.
21539624	10.1111/j.1574-695X.2011.00811.x	Wiley	abstract_only_with_pdf_candidate	FEMS immunology and medical microbiology	Identification of a haemolysin-like peptide with antibacterial activity using the draft genome sequence of Staphylococcus epidermidis strain A487.
21627486	10.1139/w11-029	Unclassified	abstract_only_with_pdf_candidate	Canadian journal of microbiology	Class 1 and class 2 integrons in multidrug-resistant gram-negative bacteria isolated from the Salmon River, British Columbia.
21665906	10.1093/jac/dkr187	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Ceftazidime-hydrolysing β-lactamase OXA-145 with impaired hydrolysis of penicillins in Pseudomonas aeruginosa.
21707466	10.3109/1040841X.2011.559944	Unclassified	abstract_only_with_pdf_candidate	Critical reviews in microbiology	IMP-type metallo-β-lactamases in Gram-negative bacilli: distribution, phylogeny, and association with integrons.
21812718	10.1080/03079457.2011.588197	Unclassified	abstract_only_with_pdf_candidate	Avian pathology : journal of the W.V.P.A	Antimicrobial susceptibility of Brachyspira spp. isolated from commercial laying hens and free-living wild mallards (Anas platyrhynchos).
